Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1209,30731,73,246.8,6952.0,11,87,0
1209,45889,65,345.6,8769.6,26,96,1
1916,60473,158,363.0,13551.2,32,201,0
1916,62287,111,566.8,14235.2,29,199,1
1318,46683,50,207.0,9706.0,21,148,1
1318,37251,40,422.0,8704.6,13,107,0
1226,33777,46,341.6,7977.2,9,103,0
1226,39539,53,298.0,9263.8,15,79,1
1716,52226,72,266.0,12471.0,21,165,0
1716,58106,196,244.2,14527.8,34,187,1
1371,44153,80,216.8,9349.8,20,106,0
1371,51425,96,308.0,11601.8,33,131,1
1511,56149,64,462.4,13038.4,33,95,1
1511,47326,81,277.6,10215.6,21,117,0
1599,58609,68,370.2,13110.8,38,145,1
1599,51129,94,266.6,11749.4,24,109,0
1438,44901,38,247.0,9343.2,22,117,0
1438,57003,95,311.8,12074.2,40,134,1
1731,54168,59,377.2,12782.0,25,175,0
