Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1516,39605,67,402.8,9805.2,14,129,0
1104,38600,58,166.4,8202.6,23,85,1
1104,27869,48,102.6,6642.4,6,55,0
1609,63539,148,346.4,14347.8,38,139,1
1609,50350,133,376.4,11349.6,21,119,0
2004,67758,85,400.4,16880.8,35,221,1
2004,63450,71,70.4,14870.2,23,180,0
1714,54789,93,296.4,12951.0,29,119,0
1714,64302,98,414.2,14398.6,41,174,1
1740,56582,100,256.4,12266.8,32,193,0
1740,64486,270,366.6,13387.2,44,197,1
1551,53116,90,281.2,11796.6,26,147,1
1551,46806,87,291.4,10203.4,18,147,0
919,21662,25,153.0,5102.6,5,36,0
919,34487,34,402.0,6947.4,19,83,1
1616,61082,106,446.0,13315.8,43,137,1
1616,49681,90,419.2,11121.8,21,132,0
1956,69968,135,262.4,17181.8,40,177,1
1956,63185,84,296.6,14098.6,27,179,0
1246,44116,65,174.2,9121.4,22,100,1
1246,35614,41,293.4,8167.6,16,86,0
1988,65532,81,239.4,15043.6,29,205,0
1988,73954,165,356.6,16869.2,47,239,1
1272,33277,57,289.0,7861.4,9,62,0
1272,50866,47,271.6,10431.0,33,94,1
1885,66104,133,274.8,14331.4,46,195,0
1885,70595,111,240.4,15702.8,43,169,1
1849,53610,44,502.0,12391.4,19,188,0
1849,63238,64,310.4,15090.2,28,175,1
1237,35061,57,235.0,7955.2,13,91,0
1237,46492,66,374.0,10141.8,33,93,1
1960,68129,79,333.2,16069.6,30,192,1
1960,61677,106,375.0,14414.6,25,184,0
2390,77052,89,327.8,19102.0,27,287,1
2390,66110,171,407.2,16332.2,14,228,0
1525,57110,146,145.4,11389.4,38,134,1
1525,41622,148,319.2,8577.6,16,122,0
1498,44484,75,362.8,10209.6,19,121,0
1498,55249,83,312.6,13262.2,30,167,1
1501,42041,59,337.6,9766.2,12,89,0
1501,53008,106,287.0,12705.0,25,147,1
1872,55927,131,442.4,13463.8,22,165,0
1872,63540,164,342.8,14487.4,41,193,1
1768,51323,68,332.0,12968.8,19,140,0
1768,61276,49,330.4,14499.2,27,187,1
1399,49711,85,408.2,11350.4,26,120,1
1399,44015,72,599.8,10064.6,16,107,0
1687,60671,77,352.6,13862.4,38,155,1
1687,52541,53,295.2,12896.8,28,131,0
1910,60709,199,239.8,12709.2,32,228,0
1910,64629,190,278.0,15722.4,28,161,1
1077,26116,47,238.0,5855.2,7,49,0
1077,39764,57,214.2,7661.6,18,86,1
1570,53987,66,283.2,11498.0,32,142,1
