Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
2028,67613,121,503.8,17093.4,35,195,1
2028,64957,126,532.6,15490.6,18,204,0
1478,45242,40,434.0,10382.2,20,112,0
1478,57874,67,533.6,12884.2,37,134,1
2291,65786,160,362.4,17534.6,26,243,0
2291,74021,137,248.2,18517.8,33,255,1
1375,39975,40,337.0,8762.0,22,86,0
1375,52205,46,316.6,11802.4,27,85,1
950,32678,23,409.8,7093.0,19,60,1
950,26211,39,355.0,5956.6,12,59,0
1832,64749,68,333.2,15197.0,36,170,1
1832,52257,90,356.6,12010.0,15,169,0
2447,83925,223,476.0,20108.6,38,224,1
2447,73194,197,589.0,17620.0,33,201,0
1645,49566,103,310.4,11532.6,24,172,0
1645,62412,93,339.0,13827.8,37,154,1
1848,67479,109,387.6,16491.8,36,192,1
1848,59089,158,252.0,13222.2,28,142,0
1869,63199,134,287.0,15596.8,39,197,1
1869,54316,113,295.4,13713.6,20,136,0
1706,57048,95,209.8,13898.6,36,148,1
1706,52942,132,231.2,11727.0,25,166,0
1621,47939,85,218.6,11536.0,27,113,0
1621,62971,86,444.6,14326.4,36,121,1
1657,56603,152,388.2,11366.2,41,125,0
1657,58286,148,324.8,13700.8,34,90,1
1919,59976,129,298.6,13330.0,25,182,0
1919,65367,111,427.2,14973.2,30,183,1
1739,62858,108,305.4,14732.0,34,180,1
1739,54250,124,303.6,12799.2,26,146,0
1575,59212,119,435.4,12729.4,37,113,1
1575,44892,59,230.0,10140.2,22,108,0
1412,40986,75,287.6,9157.2,15,106,0
1412,51570,82,247.8,11177.0,35,117,1
1341,52979,105,145.6,11178.4,34,85,1
1341,37182,63,110.2,9273.8,16,68,0
1526,54483,76,101.0,13328.6,33,104,1
1526,40052,58,248.0,9718.0,9,89,0
2067,74864,147,196.4,17251.4,44,168,1
2067,70990,66,297.8,17671.6,33,183,0
1715,64501,87,496.6,14821.8,40,168,1
1715,52326,86,321.8,12660.4,19,119,0
1813,57187,51,369.8,13762.6,19,154,0
1813,66389,76,477.6,16198.0,34,194,1
